offer_text,label
"Software engineering internship for students with Python and Git knowledge. Apply through official careers portal. Shortlisted students will attend technical interview and mentorship sessions.",genuine
"Data analyst internship requiring Excel, SQL, and dashboard skills. Stipend mentioned clearly. Company email domain and HR contact are provided. No fees required.",genuine
"Machine learning internship with tasks in preprocessing, model evaluation, and weekly mentor review. Selection includes assignment and interview.",genuine
"Web development internship for React and Node.js learners. Applicants must submit portfolio links through the company website.",genuine
"Cloud computing internship with AWS basics, Linux, and networking fundamentals. Certificate is given after successful project completion.",genuine
"Cybersecurity internship for students familiar with networking and ethical hacking basics. Official application form and interview process included.",genuine
"Android development internship to build Kotlin features and fix bugs with senior developer guidance. No payment required from applicants.",genuine
"UI UX internship requiring Figma portfolio, user research interest, and communication skills. Selected candidates join online orientation.",genuine
"Backend internship using Java, Spring Boot, REST APIs, and MySQL. Candidates complete coding test before interview.",genuine
"AI research internship for final year students. Work includes reading papers, cleaning datasets, and documenting experiments.",genuine
"Business analytics internship with Power BI, Excel, and presentation tasks. Internship letter issued by verified company HR.",genuine
"DevOps internship covering GitHub Actions, Docker, and monitoring basics. Applicants apply through LinkedIn company page.",genuine
"Full stack internship with weekly sprint meetings, code reviews, and mentor feedback. Stipend depends on performance.",genuine
"Data science internship for pandas, visualization, and basic classification models. Selection is based on resume screening.",genuine
"IoT internship requiring Arduino, sensors, and basic C programming. Students will submit a mini project during training.",genuine
"Urgent internship hiring. Pay registration fee of 999 today to confirm your seat and get guaranteed certificate.",suspicious
"Work from mobile internship. No skills required. Earn 3000 daily by copy paste work. Contact only on WhatsApp.",suspicious
"Guaranteed job after internship. Processing fee refundable after joining. Limited seats apply immediately.",suspicious
"Data science internship without interview. Send security deposit first and receive offer letter instantly.",suspicious
"AI internship for all branches. Pay 1499 for training kit and get 100 percent placement guarantee.",suspicious
"Typing internship. Simple copy paste work from home. No company website. DM me on Telegram for payment details.",suspicious
"Urgent hiring students. Registration closes today only. Pay fee to unlock internship certificate and stipend.",suspicious
"Part time internship with huge salary. No resume needed. Personal Gmail contact and WhatsApp only.",suspicious
"Internship offer letter guaranteed within 10 minutes. Pay processing charge first. No interview required.",suspicious
"Earn weekly income from home by sharing links. Internship certificate guaranteed for all candidates.",suspicious
"Limited seats for software internship. Security deposit mandatory before joining. Hurry last chance.",suspicious
"Government approved internship claim with no verification link. Pay application fee through UPI immediately.",suspicious
"ML internship with guaranteed stipend for everyone. Registration payment compulsory to receive project files.",suspicious
"Campus ambassador internship promising iPhone rewards and job without work. Contact random number on WhatsApp.",suspicious
"Certificate internship for any student. No tasks, no interview, only fee payment needed.",suspicious
